Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
"Sep 12, 2020",12:00 PM,Sat,Charlotte,@,Appalachian State,Sun Belt,L,20,35,0,1,L 1,
"Oct 3, 2020",4:00 PM,Sat,Charlotte,@,Florida Atlantic,CUSA,L,17,21,0,2,L 2,
"Oct 10, 2020",8:00 PM,Sat,Charlotte,@,North Texas,CUSA,W,49,21,1,2,W 1,
"Oct 24, 2020",12:00 PM,Sat,Charlotte,,UTEP,CUSA,W,38,28,2,2,W 2,
"Oct 31, 2020",7:00 PM,Sat,Charlotte,@,Duke,ACC,L,19,53,2,3,L 1,
"Dec 6, 2020",12:00 PM,Sun,Charlotte,,Western Kentucky,CUSA,L,19,37,2,4,L 2,
